title,studio,domestic_gross,foreign_gross,year,title_lower,tconst,primary_title,original_title,start_year,runtime_minutes,genres,primary_title_lower,averagerating,numvotes
Alpha,Studio 8,35900000.0,62300000,2018,alpha,tt2121250,Alpha,Alpha,2013,116.0,Crime,alpha,5.5,102
Alpha,Studio 8,35900000.0,62300000,2018,alpha,tt3166734,Alpha,Alpha,2015,80.0,"Drama,Horror,Mystery",alpha,7.7,37
Alpha,Studio 8,35900000.0,62300000,2018,alpha,tt4244998,Alpha,Alpha,2018,96.0,"Adventure,Drama,Family",alpha,6.7,41882
A Simple Favor,LGF,53500000.0,44100000,2018,a simple favor,tt7040874,A Simple Favor,A Simple Favor,2018,117.0,"Comedy,Crime,Drama",a simple favor,6.9,83338
The Favourite,FoxS,34400000.0,61600000,2018,the favourite,tt5083738,The Favourite,The Favourite,2018,119.0,"Biography,Drama,History",the favourite,7.6,116011
Truth or Dare,Uni.,41400000.0,53900000,2018,truth or dare,tt2125681,Truth or Dare,Truth or Dare,2013,85.0,"Horror,Romance,Thriller",truth or dare,6.0,14
Truth or Dare,Uni.,41400000.0,53900000,2018,truth or dare,tt2321661,Truth or Dare,Zhen Xin Hua Da Mao Xian,2012,100.0,"Comedy,Romance",truth or dare,5.0,10
Truth or Dare,Uni.,41400000.0,53900000,2018,truth or dare,tt2762738,Truth or Dare,Truth or Dare,2013,84.0,"Horror,Thriller",truth or dare,4.8,554
Truth or Dare,Uni.,41400000.0,53900000,2018,truth or dare,tt5944422,Truth or Dare,Verdad o Reto,2016,90.0,"Drama,Romance",truth or dare,6.8,12
Truth or Dare,Uni.,41400000.0,53900000,2018,truth or dare,tt6772950,Truth or Dare,Truth or Dare,2018,100.0,"Horror,Thriller",truth or dare,5.2,33621
I Feel Pretty,STX,48800000.0,45700000,2018,i feel pretty,tt6791096,I Feel Pretty,I Feel Pretty,2018,110.0,"Comedy,Romance",i feel pretty,5.4,39936
Blockers,Uni.,60300000.0,33700000,2018,blockers,tt2531344,Blockers,Blockers,2018,102.0,Comedy,blockers,6.2,57142
Goosebumps 2: Haunted Halloween,Sony,46700000.0,46600000,2018,goosebumps 2: haunted halloween,tt5664636,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,90.0,"Adventure,Comedy,Family",goosebumps 2: haunted halloween,5.6,11459
BlacKkKlansman,Focus,49300000.0,44000000,2018,blackkklansman,tt7349662,BlacKkKlansman,BlacKkKlansman,2018,135.0,"Biography,Crime,Drama",blackkklansman,7.5,149005
Sherlock Gnomes,Par.,43200000.0,47100000,2018,sherlock gnomes,tt2296777,Sherlock Gnomes,Sherlock Gnomes,2018,86.0,"Adventure,Animation,Comedy",sherlock gnomes,5.1,8030
Mortal Engines,Uni.,16000000.0,67700000,2018,mortal engines,tt1571234,Mortal Engines,Mortal Engines,2018,128.0,"Action,Adventure,Fantasy",mortal engines,6.1,70193
How Long Will I Love U,WGUSA,747000.0,82100000,2018,how long will i love u,tt8404272,How Long Will I Love U,Chao shi kong tong ju,2018,101.0,Romance,how long will i love u,6.5,607
Den of Thieves,STX,44900000.0,35600000,2018,den of thieves,tt1259528,Den of Thieves,Den of Thieves,2018,140.0,"Action,Crime,Drama",den of thieves,7.0,69648
Hereditary,A24,44100000.0,35300000,2018,hereditary,tt7784604,Hereditary,Hereditary,2018,127.0,"Drama,Horror,Mystery",hereditary,7.3,151571
Tag,WB (NL),54700000.0,23400000,2018,tag,tt1967669,Tag,Tag,2015,91.0,Drama,tag,4.6,158
Tag,WB (NL),54700000.0,23400000,2018,tag,tt2854926,Tag,Tag,2018,100.0,Comedy,tag,6.5,85186
Tag,WB (NL),54700000.0,23400000,2018,tag,tt4439120,Tag,Riaru onigokko,2015,85.0,"Action,Fantasy,Horror",tag,6.1,4331
Vice,Annapurna,47800000.0,28200000,2018,vice,tt3480796,Vice,Vice,2015,96.0,"Action,Adventure,Sci-Fi",vice,4.2,14436
Vice,Annapurna,47800000.0,28200000,2018,vice,tt6266538,Vice,Vice,2018,132.0,"Biography,Comedy,Drama",vice,7.2,72855
Widows,Fox,42400000.0,33600000,2018,widows,tt1785670,Widows,Viudas,2011,100.0,"Comedy,Drama",widows,6.3,484
Widows,Fox,42400000.0,33600000,2018,widows,tt4218572,Widows,Widows,2018,129.0,"Crime,Drama,Thriller",widows,7.0,61615
Sicario: Day of the Soldado,Sony,50100000.0,25800000,2018,sicario: day of the soldado,tt5052474,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122.0,"Action,Crime,Drama",sicario: day of the soldado,7.1,95650
Searching,SGem,26000000.0,49400000,2018,searching,tt7668870,Searching,Searching,2018,102.0,"Drama,Mystery,Thriller",searching,7.7,97991
The Spy Who Dumped Me,LGF,33600000.0,41800000,2018,the spy who dumped me,tt6663582,The Spy Who Dumped Me,The Spy Who Dumped Me,2018,117.0,"Action,Adventure,Comedy",the spy who dumped me,6.0,47869
Second Act,STX,39300000.0,33000000,2018,second act,tt2126357,Second Act,Second Act,2018,103.0,"Comedy,Drama,Romance",second act,5.8,13109
Sanju,FIP,7900000.0,63600000,2018,sanju,tt6452574,Sanju,Sanju,2018,155.0,"Biography,Drama",sanju,7.9,40473
Book Club,Par.,68600000.0,,2018,book club,tt4727712,Book Club,Book Club,2015,72.0,Documentary,book club,6.6,9
Book Club,Par.,68600000.0,,2018,book club,tt6857166,Book Club,Book Club,2018,104.0,"Comedy,Drama,Romance",book club,6.1,18728
12 Strong,WB,45800000.0,21600000,2018,12 strong,tt1413492,12 Strong,12 Strong,2018,130.0,"Action,Drama,History",12 strong,6.6,50155
"Love, Simon",Fox,40800000.0,25500000,2018,"love, simon",tt5164432,"Love, Simon","Love, Simon",2018,110.0,"Comedy,Drama,Romance","love, simon",7.6,81575
Mile 22,STX,36100000.0,30200000,2018,mile 22,tt4560436,Mile 22,Mile 22,2018,94.0,"Action,Adventure,Thriller",mile 22,6.1,47862
Life of the Party,WB (NL),53100000.0,12800000,2018,life of the party,tt1826727,Life of the Party,Life of the Party,2017,84.0,"Comedy,Drama",life of the party,7.6,47
Life of the Party,WB (NL),53100000.0,12800000,2018,life of the party,tt5619332,Life of the Party,Life of the Party,2018,105.0,Comedy,life of the party,5.5,25756
Isle Of Dogs,FoxS,32000000.0,32200000,2018,isle of dogs,tt1588362,Isle of Dogs,Isle of Dogs,2010,90.0,"Action,Crime,Thriller",isle of dogs,3.8,494
Isle Of Dogs,FoxS,32000000.0,32200000,2018,isle of dogs,tt5104604,Isle of Dogs,Isle of Dogs,2018,101.0,"Adventure,Animation,Comedy",isle of dogs,7.9,108245
Adrift,STX,31400000.0,28500000,2018,adrift,tt2408090,Adrift,A la deriva,2012,65.0,Drama,adrift,6.0,6
Adrift,STX,31400000.0,28500000,2018,adrift,tt6306064,Adrift,Adrift,2018,96.0,"Action,Adventure,Biography",adrift,6.6,34115
The 15:17 to Paris,WB,36300000.0,20800000,2018,the 15:17 to paris,tt6802308,The 15:17 to Paris,The 15:17 to Paris,2018,94.0,"Biography,Drama,Thriller",the 15:17 to paris,5.2,21880
Early Man,LGF,8300000.0,46400000,2018,early man,tt4701724,Early Man,Early Man,2018,89.0,"Adventure,Animation,Comedy",early man,6.1,15882
Peppermint,STX,35400000.0,18400000,2018,peppermint,tt6850820,Peppermint,Peppermint,2018,101.0,"Action,Crime,Drama",peppermint,6.5,35854
Teen Titans Go! To The Movies,WB,29800000.0,22300000,2018,teen titans go! to the movies,tt7424200,Teen Titans Go! To the Movies,Teen Titans Go! To the Movies,2018,84.0,"Action,Animation,Comedy",teen titans go! to the movies,6.8,12525
Slender Man,SGem,30600000.0,21200000,2018,slender man,tt5690360,Slender Man,Slender Man,2018,93.0,"Horror,Mystery,Thriller",slender man,3.2,19650
Slender Man,SGem,30600000.0,21200000,2018,slender man,tt5897302,Slender Man,Slender Man,2013,52.0,"Adventure,Comedy,Horror",slender man,5.9,32
The Son of Bigfoot,VPD,289000.0,46800000,2018,the son of bigfoot,tt5715410,The Son of Bigfoot,The Son of Bigfoot,2017,92.0,"Adventure,Animation,Comedy",the son of bigfoot,6.1,4182
Uncle Drew,LG/S,42500000.0,4200000,2018,uncle drew,tt7334528,Uncle Drew,Uncle Drew,2018,103.0,"Comedy,Sport",uncle drew,5.7,9739
Mary Queen of Scots,Focus,16500000.0,29900000,2018,mary queen of scots,tt1555069,Mary Queen of Scots,Mary Queen of Scots,2013,119.0,"Biography,Drama,History",mary queen of scots,5.5,753
Mary Queen of Scots,Focus,16500000.0,29900000,2018,mary queen of scots,tt2328900,Mary Queen of Scots,Mary Queen of Scots,2018,124.0,"Biography,Drama,History",mary queen of scots,6.3,23866
The Possession of Hannah Grace,SGem,14800000.0,28200000,2018,the possession of hannah grace,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,2018,86.0,"Horror,Mystery,Thriller",the possession of hannah grace,5.2,11629
Overlord,Par.,21700000.0,20000000,2018,overlord,tt4530422,Overlord,Overlord,2018,110.0,"Action,Adventure,Horror",overlord,6.7,56108
The Darkest Minds,Fox,12700000.0,28400000,2018,the darkest minds,tt4073790,The Darkest Minds,The Darkest Minds,2018,104.0,"Action,Adventure,Drama",the darkest minds,5.7,21340
Show Dogs,Global Road,17900000.0,21300000,2018,show dogs,tt5691024,Show Dogs,Show Dogs,2018,92.0,"Adventure,Comedy,Family",show dogs,3.7,3458
On the Basis of Sex,Focus,24600000.0,13600000,2018,on the basis of sex,tt4669788,On the Basis of Sex,On the Basis of Sex,2018,120.0,"Biography,Drama",on the basis of sex,6.9,12083
Namiya,CL,70800.0,35300000,2018,namiya,tt7645502,Namiya,Jie you za huo dian,2017,116.0,"Drama,Fantasy",namiya,5.0,276
The Hate U Give,Fox,29700000.0,5200000,2018,the hate u give,tt5580266,The Hate U Give,The Hate U Give,2018,133.0,"Crime,Drama",the hate u give,7.3,17583
Nobody's Fool,Par.,31700000.0,1800000,2018,nobody's fool,tt8097306,Nobody's Fool,Nobody's Fool,2018,110.0,"Comedy,Drama,Romance",nobody's fool,4.6,3618
Bad Times At The El Royale,Fox,17800000.0,14000000,2018,bad times at the el royale,tt6628394,Bad Times at the El Royale,Bad Times at the El Royale,2018,141.0,"Crime,Drama,Mystery",bad times at the el royale,7.1,86318
Baaghi 2,FIP,1300000.0,29900000,2018,baaghi 2,tt6843812,Baaghi 2,Baaghi 2,2018,137.0,"Action,Thriller",baaghi 2,5.0,7344
The Happytime Murders,STX,20700000.0,6800000,2018,the happytime murders,tt1308728,The Happytime Murders,The Happytime Murders,2018,91.0,"Action,Comedy,Crime",the happytime murders,5.3,16988
Midnight Sun,Global Road,9600000.0,17800000,2018,midnight sun,tt4799066,Midnight Sun,Midnight Sun,2018,91.0,"Drama,Romance",midnight sun,6.6,16220
Monster Family,VPD,127000.0,26300000,2018,monster family,tt6572702,Monster Family,Happy Family,2017,93.0,"Animation,Comedy,Family",monster family,4.8,3185
White Boy Rick,Studio 8,24000000.0,1900000,2018,white boy rick,tt4537896,White Boy Rick,White Boy Rick,2018,111.0,"Crime,Drama",white boy rick,6.4,16255
Winchester,LGF,25100000.0,,2018,winchester,tt1072748,Winchester,Winchester,2018,99.0,"Biography,Drama,Fantasy",winchester,5.4,24351
The Death of Stalin,IFC,8000000.0,16600000,2018,the death of stalin,tt4686844,The Death of Stalin,The Death of Stalin,2017,107.0,"Comedy,Drama,History",the death of stalin,7.2,63156
"Paul, Apostle of Christ",Affirm,17600000.0,5500000,2018,"paul, apostle of christ",tt7388562,"Paul, Apostle of Christ","Paul, Apostle of Christ",2018,108.0,"Adventure,Biography,Drama","paul, apostle of christ",6.7,5662
Padmaavat,VPD,11800000.0,11100000,2018,padmaavat,tt5935704,Padmaavat,Padmaavat,2018,164.0,"Drama,History,Romance",padmaavat,7.0,23376
Proud Mary,SGem,20900000.0,876000,2018,proud mary,tt6421110,Proud Mary,Proud Mary,2018,89.0,"Action,Crime,Drama",proud mary,4.9,6805
Superfly,Sony,20500000.0,236000,2018,superfly,tt7690670,SuperFly,Superfly,2018,116.0,"Action,Crime,Thriller",superfly,5.0,4753
If Beale Street Could Talk,Annapurna,14900000.0,5700000,2018,if beale street could talk,tt7125860,If Beale Street Could Talk,If Beale Street Could Talk,2018,119.0,"Drama,Romance",if beale street could talk,7.2,25512
Burn the Stage: The Movie,Trafalgar,4200000.0,16100000,2018,burn the stage: the movie,tt9151704,Burn the Stage: The Movie,Burn the Stage: The Movie,2018,84.0,"Documentary,Music",burn the stage: the movie,8.8,2067
Detective K: Secret of the Living Dead,WGUSA,104000.0,18500000,2018,detective k: secret of the living dead,tt7108976,Detective K: Secret of the Living Dead,Jo-seon-myeong-tamjeong: Heupyeolgoemaui bimil,2018,120.0,"Comedy,Crime",detective k: secret of the living dead,6.1,269
The Wife,SPC,9600000.0,8600000,2018,the wife,tt3750872,The Wife,The Wife,2017,99.0,Drama,the wife,7.2,24955
Hell Fest,LGF,11100000.0,7100000,2018,hell fest,tt1999890,Hell Fest,Hell Fest,2018,89.0,Horror,hell fest,5.5,8662
Chappaquiddick,ENTMP,17400000.0,591000,2018,chappaquiddick,tt5270948,Chappaquiddick,Chappaquiddick,2017,106.0,"Drama,History,Thriller",chappaquiddick,6.5,9560
They Shall Not Grow Old,WB,18000000.0,,2018,they shall not grow old,tt7905466,They Shall Not Grow Old,They Shall Not Grow Old,2018,99.0,"Documentary,History,War",they shall not grow old,8.4,15612
Free Solo,NGE,17500000.0,,2018,free solo,tt7775622,Free Solo,Free Solo,2018,100.0,"Documentary,Sport",free solo,8.2,32250
The Children Act,A24,548000.0,17000000,2018,the children act,tt6040662,The Children Act,The Children Act,2017,105.0,Drama,the children act,6.7,7289
Hunter Killer,LG/S,15800000.0,,2018,hunter killer,tt1846589,Hunter Killer,Hunter Killer,2018,122.0,"Action,Thriller",hunter killer,6.6,33983
Unfriended: Dark Web,BH Tilt,8900000.0,6300000,2018,unfriended: dark web,tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018,92.0,"Crime,Horror,Mystery",unfriended: dark web,5.9,13822
Upgrade,BH Tilt,12000000.0,2400000,2018,upgrade,tt6499752,Upgrade,Upgrade,2018,100.0,"Action,Sci-Fi,Thriller",upgrade,7.6,104978
Upgrade,BH Tilt,12000000.0,2400000,2018,upgrade,tt6739824,Upgrade,Upgrade,2016,,Drama,upgrade,8.8,69
